"Genotype"	"Estimate"	"StdErr"
"535"	"M0327"	14.5507	0.442
"536"	"M0328"	13.8742	0.409
"537"	"M0331"	14.6447	0.3852
"538"	"M0334"	15.1734	0.4843
"539"	"M0335"	12.6934	0.4395
"540"	"M0337"	12.3852	0.6374
"541"	"M0338"	13.9813	0.4091
"542"	"M0339"	17.1087	0.5058
"543"	"M0341"	14.3852	0.5856
"544"	"M0342"	13.3427	0.5791
"545"	"M0344"	12.4144	0.5486
"546"	"M0345"	12.651	0.4847
"547"	"M0348"	12.0374	0.7045
"548"	"M0350"	11.6767	0.7109
"549"	"M0351"	12.8964	0.5487
"550"	"M0352"	16.6239	0.7046
"551"	"M0353"	16.0773	0.5401
"552"	"M0354"	14.1823	0.424
"553"	"M0355"	12.3511	0.5755
"554"	"M0357"	13.6932	0.5427
"555"	"M0358"	15.9111	0.6279
"556"	"M0360"	11.9379	0.5373
"557"	"M0362"	14.0382	0.628
"558"	"M0364"	15.1136	0.5102
"559"	"M0365"	16.8469	0.5102
"560"	"M0366"	12.4324	0.4581
"561"	"M0368"	13.8774	0.4597
"562"	"M0369"	14.3088	0.3964
"563"	"M0370"	16.1093	0.4849
"564"	"M0375"	13.2534	0.4926
"565"	"M0376"	12.2868	0.4809
"566"	"M0377"	15.2463	0.5502
"567"	"M0378"	13.8212	0.3966
"568"	"M0379"	12.0108	0.4925
"569"	"M0380"	12.2394	0.5077
"570"	"M0381"	12.5015	0.3966
"571"	"M0382"	14.7327	0.3965
"572"	"M0383"	13.2136	0.481
"573"	"M0384"	12.1523	0.6461
"574"	"Mo17"	10.8271	0.07329
"575"	"Mo17xB73"	15.5605	0.06858
"576"	"Mo17xM0001"	13.5329	0.3965
"577"	"Mo17xM0002"	13.6167	0.4238
"578"	"Mo17xM0004"	11.5294	0.4405
"579"	"Mo17xM0005"	12.1683	0.4595
"580"	"Mo17xM0006"	11.7846	0.385
"581"	"Mo17xM0007"	12.1219	0.4417
"582"	"Mo17xM0008"	13.0197	0.4238
"583"	"Mo17xM0010"	13.7138	0.385
"584"	"Mo17xM0011"	12.1703	0.3849
"585"	"Mo17xM0012"	13.5967	0.4928
"586"	"Mo17xM0013"	13.4829	0.3965
"587"	"Mo17xM0014"	12.7537	0.4393
"588"	"Mo17xM0015"	12.8157	0.4262
"589"	"Mo17xM0016"	12.3185	0.3849
"590"	"Mo17xM0017"	12.8115	0.4089
"591"	"Mo17xM0021"	13.0968	0.3964
"592"	"Mo17xM0022"	13.4936	0.3692
"593"	"Mo17xM0023"	12.5753	0.3964
"594"	"Mo17xM0024"	11.1383	0.4791
"595"	"Mo17xM0025"	13.6484	0.4239
"596"	"Mo17xM0026"	13.0436	0.409
"597"	"Mo17xM0027"	11.7812	0.5196
"598"	"Mo17xM0028"	12.5868	0.5372
"599"	"Mo17xM0029"	13.21	0.4393
"600"	"Mo17xM0030"	13.6589	0.4261
"601"	"Mo17xM0031"	13.3295	0.4238
"602"	"Mo17xM0032"	12.0422	0.409
"603"	"Mo17xM0033"	12.3109	0.3964
"604"	"Mo17xM0034"	15.6426	0.4228
"605"	"Mo17xM0035"	11.9854	0.3965
"606"	"Mo17xM0039"	12.503	0.4863
"607"	"Mo17xM0043"	13.9351	0.4238
"608"	"Mo17xM0044"	12.5285	0.4406
"609"	"Mo17xM0045"	13.1947	0.4091
"610"	"Mo17xM0046"	12.4337	0.4863
"611"	"Mo17xM0047"	13.0451	0.4099
"612"	"Mo17xM0048"	12.1082	0.3964
"613"	"Mo17xM0051"	13.8278	0.4089
"614"	"Mo17xM0052"	12.5264	0.4404
"615"	"Mo17xM0053"	13.1865	0.4595
"616"	"Mo17xM0054"	13.9056	0.4405
"617"	"Mo17xM0055"	12.9075	0.4099
"618"	"Mo17xM0056"	14.2249	0.4393
"619"	"Mo17xM0057"	12.9247	0.409
"620"	"Mo17xM0058"	14.9586	0.409
"621"	"Mo17xM0059"	13.0205	0.4089
"622"	"Mo17xM0060"	13.0901	0.4579
"623"	"Mo17xM0061"	12.3185	0.385
"624"	"Mo17xM0064"	13.0335	0.3849
"625"	"Mo17xM0065"	14.3665	0.5141
"626"	"Mo17xM0066"	14.5587	0.3849
"627"	"Mo17xM0067"	12.0348	0.9957
"628"	"Mo17xM0069"	13.7911	0.4227
"629"	"Mo17xM0070"	12.5235	0.4262
"630"	"Mo17xM0071"	13.4434	0.4238
"631"	"Mo17xM0075"	12.5851	0.3964
"632"	"Mo17xM0076"	14.4214	0.3964
"633"	"Mo17xM0077"	12.3159	0.4088
"634"	"Mo17xM0078"	13.963	0.409
"635"	"Mo17xM0079"	12.2572	0.4608
"636"	"Mo17xM0080"	13.2271	0.4594
"637"	"Mo17xM0081"	12.5526	0.4238
"638"	"Mo17xM0083"	12.2935	0.3964
"639"	"Mo17xM0084"	11.8219	0.4394
"640"	"Mo17xM0085"	13.5612	0.4099
